Payment group,Description,"Clinical, Functional, and Service Levels",2013 HH PPS Case-Mix Weights,2014 Final HH PPS Case-Mix Weights
10111,"1st and 2nd Episodes, 0 to 5 Therapy Visits",C1F1S1,0.8186,0.6080
10112,"1st and 2nd Episodes, 6 Therapy Visits",C1F1S2,0.9793,0.7273
10113,"1st and 2nd Episodes, 7 to 9 Therapy Visits",C1F1S3,1.1401,0.8468
10114,"1st and 2nd Episodes, 10 Therapy Visits",C1F1S4,1.3008,0.9661
10115,"1st and 2nd Episodes, 11 to 13 Therapy Visits",C1F1S5,1.4616,1.0856
10121,"1st and 2nd Episodes, 0 to 5 Therapy Visits",C1F2S1,1.0275,0.7631
10122,"1st and 2nd Episodes, 6 Therapy Visits",C1F2S2,1.1657,0.8658
10123,"1st and 2nd Episodes, 7 to 9 Therapy Visits",C1F2S3,1.3039,0.9684
10124,"1st and 2nd Episodes, 10 Therapy Visits",C1F2S4,1.4421,1.0711
10125,"1st and 2nd Episodes, 11 to 13 Therapy Visits",C1F2S5,1.5804,1.1738
10131,"1st and 2nd Episodes, 0 to 5 Therapy Visits",C1F3S1,1.1233,0.8343
10132,"1st and 2nd Episodes, 6 Therapy Visits",C1F3S2,1.2520,0.9299
10133,"1st and 2nd Episodes, 7 to 9 Therapy Visits",C1F3S3,1.3807,1.0255
10134,"1st and 2nd Episodes, 10 Therapy Visits",C1F3S4,1.5094,1.1211
10135,"1st and 2nd Episodes, 11 to 13 Therapy Visits",C1F3S5,1.6381,1.2167
10211,"1st and 2nd Episodes, 0 to 5 Therapy Visits",C2F1S1,0.8340,0.6194
10212,"1st and 2nd Episodes, 6 Therapy Visits",C2F1S2,1.0302,0.7652
10213,"1st and 2nd Episodes, 7 to 9 Therapy Visits",C2F1S3,1.2265,0.9109
10214,"1st and 2nd Episodes, 10 Therapy Visits",C2F1S4,1.4228,1.0567
10215,"1st and 2nd Episodes, 11 to 13 Therapy Visits",C2F1S5,1.6190,1.2025
10221,"1st and 2nd Episodes, 0 to 5 Therapy Visits",C2F2S1,1.0429,0.7746
10222,"1st and 2nd Episodes, 6 Therapy Visits",C2F2S2,1.2166,0.9036
10223,"1st and 2nd Episodes, 7 to 9 Therapy Visits",C2F2S3,1.3903,1.0326
10224,"1st and 2nd Episodes, 10 Therapy Visits",C2F2S4,1.5641,1.1617
10225,"1st and 2nd Episodes, 11 to 13 Therapy Visits",C2F2S5,1.7378,1.2907
10231,"1st and 2nd Episodes, 0 to 5 Therapy Visits",C2F3S1,1.1387,0.8457
